"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Renewable Energy Optimization for Distributed EV Charging Stations Using HBA and Smart Contracts","A. Kaur; P. Singh; J. Singh","School of Computer Science and Engineering, Lovely Professional University, Phagwara, India; School of Computer Science and Engineering, Lovely Professional University, Phagwara, India; Department of Information Technology, Guru Nanak Dev Engineering College, Ludhiana, India",IEEE Internet of Things Journal,"22 Aug 2025","2025","12","17","34700","34707","The demand for electric vehicles (EVs) is influenced by the location of charging stations and the management of renewable energy production. Efficient control of renewable energy can optimize resource usage, cost reduction, and enhance operator’s profitability, whereas mismanagement adversely impacts economic and energy efficiency. This study proposed an optimal location management system for distributed charging stations with renewable energy. A reward mechanism has been designed to support the electrical vehicle charging station (EVCS) operators based on uncertain demand and location. The unexpected arrival of EV demand is catered with the proposed response model by considering the price, time, and charging. The Honey Badger Algorithm (HBA) is used for the optimal operation of the charging operator for EV response. The smart contract is deployed between the transmission and charging operators to decide incentives for handling congestion and voltage stability. The experiment results demonstrate that the proposed model can reduce the overproduction of variable renewable energy with proper location management of charging stations for EVs.","2327-4662","","10.1109/JIOT.2025.3554506","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10938571","EV charging station;EV response model;Honey Badger Algorithm (HBA) optimization;renewable energy;smart contract","Renewable energy sources;Charging stations;Electric vehicle charging;Power system stability;Optimization;Artificial intelligence;Smart contracts;Production;Costs;Wind power generation","","3","","26","IEEE","25 Mar 2025","1 Sept.1, 2025","","IEEE","IEEE Journals"
"On the Utilization of Blockchain and Smart Contracts in Charging Coordination of Roadway-Powered Electric Vehicles","A. A. Sadawi; E. Elghanam; M. S. Hassan; A. H. Osman","Department of Industrial Engineering, American University of Sharjah, Sharjah, United Arab Emirates; Department of Industrial Engineering, American University of Sharjah, Sharjah, United Arab Emirates; Department of Electrical Engineering, American University of Sharjah, Sharjah, United Arab Emirates; Department of Electrical Engineering, American University of Sharjah, Sharjah, United Arab Emirates",IEEE Access,"29 Feb 2024","2024","12","","29222","29237","With the increasing investments in on-the-move electric vehicle (EV) charging solutions and wireless charging lanes (WCLs), coordination of the energy requirements of mobile EVs becomes essential to ensure load balancing while maximizing demand coverage. This necessitates the development of online and mobility-aware algorithms for assigning EV-to-charging lanes. In this work, a decentralized, blockchain-based EV assignment and energy allocation system is presented. The objective of system is to coordinate the charging requirements of mobile EVs among the available WCLs within a network of EV chargers in an Internet of Electric Vehicles (IoEVs). This blockchain-based system offers higher security, transparency and immutability over traditional rule-based coordination schemes. It also offers an integrated end-to-end framework that handles user registration, authentication, lane activation and energy reporting. This is in addition to its main functionality of establishing a real-time and load-balanced EV-to-WCL assignment process that addresses the EV energy requirements within constraints of traveling distance and remaining EV energy. The proposed system is tested on the Ethereum blockchain and its security and transparency are both validated accordingly.","2169-3536","","10.1109/ACCESS.2024.3359423","Open Access Program from the American University of Sharjah; Faculty Research(grant numbers:FRG23-C-E17); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10415385","Blockchains;decentralized coordination;electric vehicles;energy management;smart contracts","Electric vehicle charging;Blockchains;Electric vehicles;Resource management;Charging stations;Smart contracts;Inductive charging;Energy management","","13","","56","CCBYNCND","29 Jan 2024","2024","","IEEE","IEEE Journals"
"Toward Real-Time Pricing and Allocation for Surplus Resources in Electric Bus Charging Stations","X. Lu; J. Li; S. Yuan; H. Jin; C. Wu; Z. Xu","Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Computer Science and Engineering and the Innovation Center of Intelligent Connected Electric Vehicle, Global Institute of Future Technology, Shanghai Jiao Tong University, Shanghai, China; Electrical and Computer Engineering, University of Michigan, Ann Arbor, MI, USA",IEEE Transactions on Intelligent Transportation Systems,"2 Feb 2024","2024","25","2","2101","2115","We are witnessing a rapid growth of electric vehicles in both individual and public transportation. Many large-scale company-built electric bus charging stations have been established to facilitate public transportation, while these electric bus charging stations are not accessible to private vehicles. The motivation for this work comes from the possibility of opening surplus resources in electric bus charging stations to alleviate the charging resource shortage and gain extra profit for the electric bus charging station. The operation facing private vehicles, however, also encounters obstacles including serious congestion induced by absorbing private vehicles and delays of bus lines due to private vehicles occupying charging points. To jointly solve these challenges, we propose a real-time control mechanism to maximize the long-term net profit of an electric bus charging station based on Lyapunov optimization theory and generalized benders decomposition, while maintaining the congestion level and ensuring timetables of buses. We demonstrate through rigorous theoretical proof that the proposed mechanism can be arbitrarily close to the optimal solution. Comprehensive evaluation experiments with real-world data sets have been conducted to show the credibility of the mechanism in reducing congestion, ensuring bus timetables, and maximizing the long-term net profit.","1558-0016","","10.1109/TITS.2023.3314648","National Key Research and Development Program of China(grant numbers:2020YFB1710900,2020YFB1806700); NSFC(grant numbers:61932014,62232011,U21A20519,U20A20181,61972246); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10260307","Charging stations;electric vehicles;Lyapunov methods;time-varying systems","Charging stations;Real-time systems;Resource management;Pricing;Public transportation;Electric vehicle charging;Economics","","12","","47","IEEE","22 Sep 2023","Feb. 2024","","IEEE","IEEE Journals"
"BEET: Blockchain Enabled Energy Trading for E-Mobility Oriented Electric Vehicles","Bhawana; S. Kumar; R. S. Rathore; U. Dohare; O. Kaiwartya; J. Lloret; N. Kumar","School of Computer and Systems Sciences, Jawaharlal Nehru University, New Delhi, India; School of Computer and Systems Sciences, Jawaharlal Nehru University, New Delhi, India; Department of Computer Science, Cardiff School of Technologies, Cardiff Metropolitan University, Cardiff, U.K.; School of Computing and Engineering, Galgotias University, Greater Noida, Uttar Pradesh, India; Department of Computer Science, Nottingham Trent University, Nottingham, U.K.; Instituto de Investigación para la gestión Integrada de Zonas Costeras, Universitat, Politécnica de Valencia, Valencia, Spain; Department of Computer Science and Engineering, Thapar University, Patiala, Punjab, India",IEEE Transactions on Mobile Computing,"7 Mar 2024","2024","23","4","3018","3034","Renewable Energy Sources (RESs) are gaining considerable attention to reduce human dependence on fossil fuels and minimize harmful gases in our surroundings. Existing literature on energy trading focused on providing renewable energy to smart homes, smart buildings, and smart offices to fulfill their daily energy demands obtained from RESs. Besides, Electric Vehicles (EVs) use either power grid energy or a battery exchange mechanism to recharge their low EV batteries. The continuous use of power grids to recharge low EV batteries causes a significant load on power grids. Due to this, power grids are inadequate to fulfill the ever-increasing demands of EVs in the future. In this context, we propose a Blockchain Enabled Energy Trading (BEET) framework oriented EV charging. A system architecture of the BEET framework is presented to describe the functioning of each layer and its associated entities. We formulate an optimization problem that maximizes the revenue in the energy trading process using a knapsack optimization. Smart contracts are designed on the consortium blockchain network to sell and buy renewable energy to aggregators and from producers, respectively. Moreover, an EV charging mechanism is designed to intelligently allocate renewable energy to consumers at a low price. A comparative analysis is performed with state-of-the-art works in terms of charging price, revenue, throughput, and latency. The results indicate that the BEET framework outperforms compared to state-of-the-art works to address the renewable energy demand problem to realize E-mobility. It is clarified that the data considered in the experimental analysis were obtained from statistical simulations in realistic E-Mobility environment settings.","1558-0660","","10.1109/TMC.2023.3267565","Centre International de Recherche sur le Cancer; Department of Computer Science; Nottingham Trent University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10103358","Blockchain;EVs;energy trading;optimization;RESs;smart contract","Renewable energy sources;Blockchains;Power grids;Electric vehicle charging;Charging stations;Batteries;Smart homes","","28","","33","IEEE","17 Apr 2023","April 2024","","IEEE","IEEE Journals"
"A Framework for Blockchain-Enabled Internet of Electric Vehicles Charging Station Sustainability Performance Evaluation","M. Naik; A. P. Singh; N. R. Pradhan; A. M. Almuhaideb; N. Kumar","Department of Computer Science and Engineering, National Institute of Technology Meghalaya, Shillong, India; Department of Computer Science and Engineering, National Institute of Technology Meghalaya, Shillong, India; School of Computer Science and Engineering, VIT-AP University, Amaravati, India; Department of Networks and Communications and the College of Computer Science and Information Technology, Imam Abdulrahman Bin Faisal University, Dammam, Saudi Arabia; Department of Computer Science and Engineering, Thapar Institute of Engineering and Technology, Patiala, India",IEEE Internet of Things Journal,"25 Feb 2025","2025","12","5","4726","4737","Electric vehicle (EV) charging stations (CSs) are increasingly prevalent due to the growing adoption of renewable energy. Solar CSs’ main difficulties are energy efficiency, security, traceability, and sustainability. This article presents a novel blockchain-enabled EV charging framework that addresses these challenges using the Ethereum virtual machine (EVM), the Metamask wallet, and smart contracts (SCs). This article introduces solarcoins, a digital currency for trading solar energy, which reduces human intervention while fostering trust, transparency, and privacy among EV users. The proposed solution ensures secure communication between CS operators and EV users, enhancing both security and traceability. The proposed solution ensures secure communication between CS operators and EV users, enhancing both security and traceability. To quantify the sustainability and efficiency of the proposed system, the framework performances are tested and evaluated by varying numbers and types (Read, Write, and Transfer) of transactions using Hyperledger caliper and Go Ethereum. The overhaul Performance metrics were measured under varied transaction rates and control parameters by varying the number of validator nodes (1 node to 5 nodes), such as transaction latency, throughput, resource utilization, and so on. The performance of three major functions—open, query, and transfer—was recorded and analyzed. The results show that the query transaction is faster than open and transfer and the latency increases linearly with increased transaction rate. At 1000 transaction per second, the open function has a latency of 260.22 s, whereas the query function has a latency of 104.12 s and the transfer function has a latency of 345.73 s. The average memory usage for 1node-clique is 1224.0 MB, while it is 76.8 MB for 5node-clique. Results reveal that with an increase in the number of cliques (Validator CSs), memory utilization decreased linearly. This happens because all framework transactions are distributed across each EV CS network. The SCs deployment and operational costs were measured. Complexity analysis reveals that functions, such as getStation, getUser, getStationState, etc., exhibit constant time complexity O(1), while the registerUser and addStation functions have linear space and time complexity O(n).","2327-4662","","10.1109/JIOT.2024.3504394","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10766423","Blockchain;caliper;electric vehicles (EVs);Ethereum;peer-to-peer energy trading (P2PET);solar charging","Blockchains;Privacy;Smart contracts;Real-time systems;Security;Sustainable development;Costs;Electric vehicle charging;Solar energy;Computer science","","7","","30","IEEE","22 Nov 2024","1 March1, 2025","","IEEE","IEEE Journals"
"Blockchain-Based Intelligent Charging Station Management System Platform","Y. -J. Lin; Y. -C. Chen; J. -Y. Zheng; D. -W. Shao; D. Chu; H. -T. Yang","Department of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan; Department of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan; Guochuang Innovation Center of Mobile Energy Company Ltd., Changzhou, China; Wanbang Digital Energy Company Ltd., Changzhou, China; Wanbang Star Charge Technology Company Ltd., Changzhou, China; Department of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan",IEEE Access,"4 Oct 2022","2022","10","","101936","101956","A smart electric vehicle (EV) charging station energy management system (CSMS) based on blockchain technology, which aims to protect privacy of EV users, ensure fairness of power transactions, and meet charging demands for large numbers of EVs, is proposed in this study. EV charging pile is designed as a local blockchain distributed ledger node, which operates synchronously with blockchain system and blockchain distributed ledger in cloud server. This paper integrates CSMS through smart contracts, providing EV users that ability to conduct power transactions and perform optimal charging and discharging control in real-time. The distributed ledger is in charge of recording all the EV charging and discharging data to maintain fairness of power transactions, protects data from being maliciously tampered, and enables the EV user to monitor status of the EV participating in power transactions and dispatching. The intelligent CSMS consists of an artificial intelligence (AI) module, centralized optimal scheduling module, and decentralized optimal control module. The AI module is responsible for forecasting renewable energy generation and load consumption. There is a two-layer architecture consisting of centralized and decentralized optimal control modules; the upper layer performs optimal charging and discharging scheduling of the entire EV charging station at time 15-min time segments, the bottom layer performs distributed optimal scheduling control in each EV charging pile at 5 min time interval. Proposed system in this paper can deal with feeder congestion and real-time power supply and grid demand imbalance, which are caused by high numbers of EVs.","2169-3536","","10.1109/ACCESS.2022.3208894","National Cheng Kung University (NCKU) Research and Development Foundation, Taiwan(grant numbers:109S175); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9900304","Artificial intelligence;blockchain;charging station management system;distributed ledger;decentralized charging algorithm;electric vehicles;the Internet of Thing;power trading","Electric vehicle charging;Blockchains;Renewable energy sources;Charging stations;Optimal scheduling;Computer architecture;Power generation","","47","","49","CCBY","22 Sep 2022","2022","","IEEE","IEEE Journals"
"Energy Demand Forecasting for Electric Vehicles Using Blockchain-Based Federated Learning","F. Kausar; R. Al-Hamouz; S. Hussain","Mathematics and Computer Science Department, Fisk University, Nashville, TN, USA; Department of Electrical and Computer Engineering, College of Engineering, Sultan Qaboos University, Muscat, Oman; Mathematics and Computer Science Department, Fisk University, Nashville, TN, USA",IEEE Access,"25 Mar 2024","2024","12","","41287","41298","The widespread adoption of electric cars (EVs) can be attributed to their many advantages over conventional gas-powered automobiles. However, there may be difficulties in incorporating EVs into the grid due to increased energy demand and peak load. We propose a blockchain-based federated learning scheme using different linear regression algorithms for energy demand prediction for EVs. The information gathered from EVs is stored on the blockchain network. Only those with the proper credentials can decrypt the data from its encrypted storage. Data from EVs is utilized to train a machine learning model with the use of a federated learning algorithm. Each EV is used to train a model, and then the models’ parameters are distributed throughout the blockchain. Our approach is innovative in analyzing of BCFL communications overhead and latency issues, while delving deeper into its dynamics to measure and reduce communication delays to maximize system efficiency. The implementation results verify the effectiveness of our system in anticipating EVs’ energy requirements. For the training of the BCFL model, a huge real-world dataset was used from over 60,000 transactions at EV charging stations in Boulder city, Colorado. The results show that the framework is reliable, since all the models have R2 values above 0.91, which indicates a high degree of accuracy in predicting energy use.","2169-3536","","10.1109/ACCESS.2024.3377661","Department of Energy Minority Serving Institution Partnership Program (EM-MSIPP) Managed by Savannah River National Laboratory under Battelle Savannah River Alliance (BSRA)(grant numbers:DE-EM0005266); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10472974","Federated learning;linear regression;blockchain;electric vehicle;energy consumption","Blockchains;Data models;Federated learning;Charging stations;Smart contracts;Electric vehicle charging;Training;Linear regression;Electric vehicles;Energy consumption;Power demand","","18","","22","CCBYNCND","18 Mar 2024","2024","","IEEE","IEEE Journals"
"V2PCP: Toward Online Booking Mechanism for Private Charging Piles","X. Lu; J. Sun; J. Lou; Y. Ji; C. Wu; W. Zhao; G. Xue; Y. Luo; F. Cheng; J. Li","Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Information Systems Architecture Science Research Division, National Institute of Informatics, Tokyo, Japan; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Shenzhen University of Advanced Technology, Shenzhen, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China",IEEE Transactions on Intelligent Transportation Systems,"4 Feb 2025","2025","26","2","2514","2529","As the adoption of electric vehicles continues to grow, the demand for extensive charging infrastructure in urban areas is concurrently rising. In response to the evolving charging infrastructure shortage, private charging piles have emerged as crucial supplementary energy sources, especially in areas lacking public charging infrastructure. The sharing of private charging piles, however, introduces several challenges. Notably, the variable availability time and extremely limited usage space of private charging piles pose scheduling complexities for charging pile owners. Furthermore, the completely peer-to-peer operation of private charging piles may lead to suboptimal solutions for fulfilling overall charging demand. To comprehensively address these challenges, we explore the potential for cooperation among geographically proximate charging piles. We introduce a novel online booking mechanism paired with specialized scheduling algorithms designed for scenarios involving both multiple private charging piles and single private charging piles. Our objective is to maximize the attained revenue of charging pile owners under fully dynamic conditions on both the supply and demand sides. Through meticulous theoretical proofs, we show that our mechanism achieves advantageous competitive ratios for both scenarios when compared to the offline optimal solutions. Numerous experiments, conducted with real charging sessions, consistently demonstrate that the proposed mechanism achieves the highest revenue, providing substantial evidence for its superior performance.","1558-0016","","10.1109/TITS.2024.3516828","National Key Research and Development Program of China(grant numbers:2023YFB2704903); National Natural Science Foundation of China(grant numbers:61932014,62232011); Japan Society for the Promotion of Science (JSPS) KAKENHI(grant numbers:24K02937); National Institute of Informatics (NII) International Internship Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10817479","Electric vehicle;private charging pile;online scheduling","Charging stations;Supply and demand;Space vehicles;Peer-to-peer computing;Optimization;Intelligent transportation systems;Vehicle dynamics","","1","","50","IEEE","27 Dec 2024","Feb. 2025","","IEEE","IEEE Journals"
"Blockchain-Based Secure and Cooperative Private Charging Pile Sharing Services for Vehicular Networks","Y. Wang; Z. Su; J. Li; N. Zhang; K. Zhang; K. -K. R. Choo; Y. Liu","School of Cyber Science and Engineering, Xi’an Jiaotong University, Xi’an, China; School of Cyber Science and Engineering, Xi’an Jiaotong University, Xi’an, China; School of Cyber Science and Engineering, Xi’an Jiaotong University, Xi’an, China; Department of Electrical and Computer Engineering, University of Windsor, Windsor, ON, Canada; Electrical and Computer Engineering Department, University of Nebraska-Lincoln, Lincoln, NE, USA; Department of Information Systems and Cyber Security, University of Texas at San Antonio,, San Antonio, TX, USA; School of Cyber Science and Engineering, Xi’an Jiaotong University, Xi’an, China",IEEE Transactions on Vehicular Technology,"14 Feb 2022","2022","71","2","1857","1874","With the proliferation of electric vehicles (EVs), private charging pile (PCP) sharing networks are likely to be an integral part of future smart cities, especially in places with limited public charging infrastructure. However, there are a number of operational challenges associated with the deployment of PCPs in such a shared and untrusted environment. For example, how do we formulate efficient PCP sharing strategies in PCP sharing networks, while also taking into consideration the dynamic charging behaviors of EVs? Therefore, in this paper, we propose an energy blockchain-based secure PCP sharing scheme (BBC) for PCP sharing networks. First, an energy blockchain-based framework is designed for PCP sharing networks to facilitate energy sharing services for EVs and PCPs, using both distributed ledgers and cryptocurrency. Then, we devise a reputation-based secure PCP sharing algorithm to improve consensus efficiency with smaller signature sizes. In addition, a distributed reputation mechanism is constructed to assess the trustworthiness of consensus nodes in blockchain, based on ratings, behaviors, and fading. We also model the interactions among EVs and cooperative PCPs as a joint coalition-matching game, and obtain the optimal strategies of PCPs and EVs by analyzing the Nash-stable coalitional structure and stable many-to-one matching pairs. Extensive simulations and the real-world implementation demonstrate that the proposed approach improves the utility of EV users and renewable energy efficiency in PCP sharing networks.","1939-9359","","10.1109/TVT.2021.3131744","National Natural Science Foundation of China(grant numbers:U20A20175,U1808207,62102305); Fundamental Research Funds for the Central Universities; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9632411","Electric vehicle (EV);private charging pile (PCP);energy blockchain;coalition-matching game","Blockchains;Electric vehicle charging;Games;Electronic mail;Costs;Vehicle-to-grid;Real-time systems","","75","","52","IEEE","1 Dec 2021","Feb. 2022","","IEEE","IEEE Journals"
"Blockchain for Electric Vehicles Energy Trading: Requirements, Opportunities, and Challenges","N. Al-Saif; R. W. Ahmad; K. Salah; I. Yaqoob; R. Jayaraman; M. Omar","Department of Electrical Engineering and Computer Science, Khalifa University of Science and Technology, Abu Dhabi, United Arab Emirates; Department of Electrical Engineering and Computer Science, Khalifa University of Science and Technology, Abu Dhabi, United Arab Emirates; Department of Electrical Engineering and Computer Science, Khalifa University of Science and Technology, Abu Dhabi, United Arab Emirates; Department of Electrical Engineering and Computer Science, Khalifa University of Science and Technology, Abu Dhabi, United Arab Emirates; Department of Industrial and Systems Engineering, Khalifa University of Science and Technology, Abu Dhabi, United Arab Emirates; Department of Industrial and Systems Engineering, Khalifa University of Science and Technology, Abu Dhabi, United Arab Emirates",IEEE Access,"1 Dec 2021","2021","9","","156947","156961","Today’s technologies, techniques, and systems leveraged for managing energy trading operations in electric vehicles fall short in providing operational transparency, immutability, fault tolerance, traceability, and trusted data provenance features. They are centralized and vulnerable to the single point of failure problem, and less trustworthy as they are prone to the data modifications and deletion by adversaries. In this paper, we present the potential advantages of blockchain technology to manage energy trading operations between electric vehicles as it can offer data traceability, immutability, transparency, audit, security, and confidentiality in a fully decentralized manner. We identify and discuss the essential requirements for the successful implementation of blockchain technology to secure energy trading operations among electric vehicles. We present a detailed discussion on the potential opportunities offered by blockchain technology to secure the energy trading operations of electric vehicles. We discuss several blockchain-based research projects and case studies to highlight the practicability of blockchain technology in electric vehicles energy trading. Finally, we identify and discuss open challenges in fulfilling the requirements of electric vehicles energy trading applications.","2169-3536","","10.1109/ACCESS.2021.3130095","Center for Digital Supply Chain and Operations Management, Khalifa University of Science and Technology(grant numbers:RCII-2019-002); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9624993","Blockchain;electric vehicles;security;smart contracts;energy trading","Blockchains;Electric vehicles;Electric potential;Data privacy;Charging stations;Batteries;Smart contracts","","49","","79","CCBY","23 Nov 2021","2021","","IEEE","IEEE Journals"
