"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Tian Y.; Song S.; Zhou D.; Yang R.; Wei C.","Tian, Yongting (57203539447); Song, Shouxu (7403349970); Zhou, Dan (36611144300); Yang, Ruirui (58654001200); Wei, Chen (57704007500)","57203539447; 7403349970; 36611144300; 58654001200; 57704007500","Toward sustainable joint optimisation for product family and supply chain configuration with smart contracting consideration","2023","Journal of Engineering Design","34","12","","1013","1045","9","10.1080/09544828.2023.2271775","https://www.scopus.com/pages/publications/85174415922?origin=resultslist","This article underscores the necessity for sustainable and environmentally friendly manufacturing practices in product family configuration (PFC) projects, which are paramount to the global economy. Nevertheless, conventional approaches often fixate solely on design aspects, overlooking downstream supply chain configuration (SCC) considerations and the corresponding environmental benefits. Consequently, there is an escalating demand for an integrated optimisation approach that encompasses both PFC and SCC to realise economic and environmental advantages. This study delves into a methodology that integrates blockchain smart contracts as binary 0–1 variables with waste recycling and utilisation, yielding a comprehensive multi-objective model. The proposed methodology seamlessly incorporates considerations for both PFC and SCC. Furthermore, a nested leader-follower optimisation algorithm, based on the non-dominated sorting genetic algorithm-II (NSGA-II), has been devised with the objective of achieving triple benefits: augmented profits, maintenance revenue, and diminished environmental emissions. In conclusion, this research contributes to the advancement of sustainable collaborative optimisation through the innovative utilisation of blockchain smart contracts and multi-level modelling. To demonstrate the effectiveness of the proposed methodology, it is applied to a 60 KW DC electric vehicle (EV) charging piles, accompanied by a sensitivity analysis to assess its management implications. © 2023 Informa UK Limited, trading as Taylor & Francis Group.","DC charging piles; leader-follower optimisation; non-dominated sorting genetic algorithm-II; Product family configuration; supply chain configuration","Blockchain; Charging (batteries); Genetic algorithms; Piles; Sensitivity analysis; Supply chains; Sustainable development; Block-chain; DC charging pile; Joint optimization; Leader-follower; Leader-follower optimization; Non dominated sorting genetic algorithm ii (NSGA II); Optimisations; Product families; Product family configuration; Supply chain configuration; Smart contract","Article","Final","","Scopus","2-s2.0-85174415922"
"An Q.; Jiang F.; Dong C.; Pal S.; Li J.; Neiat A.G.; Yeoh W.","An, Qi (58196782600); Jiang, Frank (51061074400); Dong, Chengzu (57257867000); Pal, Shantanu (57201922641); Li, Jianhua (57188844323); Neiat, Azadeh Ghari (26422332200); Yeoh, William (57516445100)","58196782600; 51061074400; 57257867000; 57201922641; 57188844323; 26422332200; 57516445100","A Blockchain-Powered Secure Architecture for Cyber Marketplaces of Electric Vehicles","2025","IEEE Transactions on Industry Applications","61","3","","4198","4213","7","10.1109/TIA.2025.3536421","https://www.scopus.com/pages/publications/85217047864?origin=resultslist","The rapid expansion of electric vehicle (EV) infrastructure necessitates advanced solutions for secure and private authentication at EV charging stations. This research introduces a blockchain-based framework enhanced with self-sovereign identity (SSI) features, targeting the improvement of privacy and security in cyber marketplaces for EVs. The inclusion of SSI enables users to maintain full control over their digital identities, a critical advancement for authentication processes at EV charging stations. This system effectively addresses the growing privacy and security challenges within the expanding EV infrastructure. By integrating Zero-knowledge proof with self-sovereign identity, the framework not only ensures robust security but also preserves user privacy by enabling users to prove their identity without exposing sensitive personal information. We propose an efficient and user-friendly solution, showcasing its potential as a pioneering innovation in the field of EV charging infrastructure. © 1972-2012 IEEE.","Blockchain; electronic vehicles; Internet of Things; privacy; security; self-sovereign identity; zero knowledge proof","Differential privacy; Block-chain; Charging station; Electric vehicle charging; Electronic vehicles; Privacy; Privacy and security; Secure architectures; Security; Self-sovereign identity; Zero knowl- edge proof; Anonymity","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85217047864"
"Zabihi A.; Parhamfar M.","Zabihi, Alireza (58757917500); Parhamfar, Mohammad (58508107500)","58757917500; 58508107500","Decentralized energy solutions: The impact of smart grid-enabled EV charging stations","2025","Heliyon","11","13","e41815","","","19","10.1016/j.heliyon.2025.e41815","https://www.scopus.com/pages/publications/85217434055?origin=resultslist","Electric vehicle (EVs) and charging stations (CSs) are increasingly embraced by a growing population in various regions as a means to safeguard the environment and combat climate change. The integration of blockchain technology into electric vehicle charging stations (EVCSs) within smart grids highlights the potential for creating decentralized networks. Furthermore, this study explores various facets such as recent technologies. There is a rising demand for more effective and safe charging facilities as EV use increases. By facilitating transparent, secure, and P2P energy transfers, the blockchain offers a revolutionary solution that could significantly reduce dependency on centralized utilities. The paper summarizes the current status of blockchain technology regarding EV charging, examines its advantages and disadvantages, and suggests potential avenues for further study and development. Moreover, this article describes types of EVs, EVCSs, technologies applied in EVCSs within smart grids, and other important aspects, such as placement, demand side management (DSM), battery technologies. This review work focuses on how blockchain technology could support decentralized charging networks, enabling EV owners to participate in energy-related trading, resell excess electricity to the grid, and enhance the reliability of the system. Global objectives for energy transition and decarbonization could be achieved by more robust, efficient, and sustainable smart grids developed through this decentralized approach. © 2025 The Authors","Blockchain; Charging stations; Decentralized networks; Electric vehicles; Smart grid","","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85217434055"
"Sharma R.; Garg H.; Agrawal C.","Sharma, Rashmi (58399792000); Garg, Himani (56704550200); Agrawal, Chitvan (59744895000)","58399792000; 56704550200; 59744895000","Decentralized EV charging network with tokenized access and adaptable scheduling","2025","Franklin Open","12","","100314","","","1","10.1016/j.fraope.2025.100314","https://www.scopus.com/pages/publications/105011282235?origin=resultslist","With the growing prevalence of electric vehicles (EVs), electrical grids face increasing strain due to heightened demand and potential overload during charging. This paper proposes a tokenized Ethereum-based framework that enables charging point operators (CPOs) and charging stations (CSs) to manage EV charging requests while ensuring grid stability through time flexibility (adjustable durations) and power flexibility (dynamic load modulation). Smart contracts automate peer-to-peer trading of charging parameters such as energy needs and time limits, shifting loads to off-peak hours, and adjusting prices based on real-time grid capacity. Simulations reveal that EV users who adopted time- and power-flexible charging experienced a 42 % increase in participation compared to those using rigid, fixed-rate systems. Two scenarios were tested: 1) requests every 15 min on a 33 kW grid, where smart charging achieved a 71 % efficiency improvement over uncontrolled charging and increased acceptance rates from 38 % to 70 %; and 2) consecutive requests to the same CSs, where acceptance rates rose from 23 % to 43 %, with smart charging reducing peak-to-valley load differences by 43–50 %, flattening demand profiles. The system, developed on Ethereum using the Remix IDE and MetaMask, and tested on the Sepolia testnet, demonstrates higher electricity sales, improved grid stability, and enhanced flexibility in terms of time, power, and cost. Tokenization incentivizes participation through rewards, allows users to bid for priority slots via proof-of-stake (PoS), and ties reputation metrics to token costs. Practical Byzantine Fault Tolerance (PBFT) ensures fault tolerance, while dynamic pricing and monetized flexibility create scalable EV-grid synergy, balancing supply-demand mismatches and attracting investors. © 2025 The Author(s)","Blockchain In Energy Systems; Charging Points; Charging Stations (CS); Electric Vehicles (EVs); Ethereum-based Smart Grid; Smart Contracts; Tokenized Smart Charging","Charging stations; Charging time; Costs; Distributed computer systems; Dynamic loads; Electric charge; Electric power system stability; Electric power transmission networks; Electric vehicles; Ethereum; Interactive computer systems; Investments; Smart contract; Smart power grids; Block-chain; Blockchain in energy system; Charging station; Electric vehicle; Energy systems; Ethereum-based smart grid; Smart charging; Smart grid; Tokenized smart charging; Fault tolerance","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105011282235"
"Lee S.; Seo S.-H.; Kang K.; Hu Q.","Lee, Soojin (57337055700); Seo, Seung-Hyun (57361753800); Kang, Kyubyung (57201529081); Hu, Qin (57043981000)","57337055700; 57361753800; 57201529081; 57043981000","A Blockchain-Based Electric Vehicle Charging Cooperation Model","2025","IEEE Transactions on Vehicular Technology","74","3","","3941","3957","8","10.1109/TVT.2024.3492393","https://www.scopus.com/pages/publications/105001077556?origin=resultslist","Due to the rising number of Electric Vehicles (EV), the subsequent increase in demand for charging, as well as the long charging time, will make it difficult for drivers to charge their vehicles. Current charging service platforms inform their customers of the charging station information for the network to which they belong. However, they do not ensure the reliability and credibility of information and do not share the charging information of other charging stations. To address this issue, a model in which CSs collaborate for information sharing and charging must be developed. In this paper, we propose a blockchain-based integrated charging platform for charging cooperation. Verifier groups for each CS verify the reliability of shared information. We applied the concept of Mobile Charging Stations (MCSs) to help busy CSs, reducing EV charging latency. We also designed a contribution-based incentive distribution process to elicit active CSs' cooperation. We performed a charging scenario simulation and blockchain implementation to demonstrate the proposed model's efficacy. The simulation results showed that the proposed charging scenario with MCS application showed a 46.9 % reduction in waiting time. Also, when the number of verifier members equals the global average of EVs per charging spot, the verification time is approximately 547 ms, demonstrating that the proposed model is effective. © 2024 The Authors.","blockchain; charging system; data sharing; Electric vehicle","State of charge; Block-chain; Charging station; Charging systems; Charging time; Cooperation model; Current charging; Data Sharing; Electric vehicle charging; Mobile charging; Service platforms; Charging stations","Article","Final","","Scopus","2-s2.0-105001077556"
"Li D.; Chen R.; Wan Q.; Guan Z.; Li S.; Xie M.; Su J.; Liu J.","Li, Dawei (54389678800); Chen, Ruonan (57204755637); Wan, Qinjun (58031534300); Guan, Zhenyu (57191897502); Li, Shizhong (58137211100); Xie, Min (57444728600); Su, Jieyu (58086151300); Liu, Jianwei (55682417200)","54389678800; 57204755637; 58031534300; 57191897502; 58137211100; 57444728600; 58086151300; 55682417200","Intelligent and Fair IoV Charging Service Based on Blockchain With Cross-Area Consensus","2023","IEEE Transactions on Intelligent Transportation Systems","24","12","","15984","15994","16","10.1109/TITS.2023.3249180","https://www.scopus.com/pages/publications/85149817745?origin=resultslist","The emergence of electric vehicles promotes the development of Internet of Vehicle (IoV). However, there are a series of security problems to be solved in the IoV. Firstly, how to allow vehicle users to find the nearest non-queuing charging pile without detours is a challenge. Secondly, applications in the IoV are delay-sensitive, while high communication delays caused by security mechanisms would bring serious consequences to vehicles. Thirdly, the verifiability and fairness between charging and payment are difficult to be guaranteed. Aiming at the efficiency and security problems of the charging service in the IoV, this paper proposes a blockchain-based intelligent and fair IoV charging service system. According to the multi-factor constraints between vehicles and charging piles, a multi-factor IoV branch and bound algorithm is proposed to intelligently recommend charging piles for vehicles and maximize the overall energy saving. We propose the cross-area consensus protocol to achieve low latency in vehicle communication. In addition, we ensure the fairness between charging and payment through a payment channel protocol based on verifiable encrypted signatures. Finally, we implement the proposed scheme, and we put the project prototype on an open source platform is available at: https://github.com/chenruonan/blockchain-based-intelligent-and-fair-IoV-charging-service-protocol. The experimental results demonstrate the low latency and energy-saving advantages of our proposal. When the payment is executed 250 times, the delay of our proposal is only 1.54% of the normal on-chain payment time.  © 2000-2011 IEEE.","blockchain; branch and bound; energy-saving; IoV; payment channels","Blockchain; Energy conservation; Network security; Vehicles; Block-chain; Branch and bounds; Delay; Energy  savings; Energy-savings; Internet of vehicle; Low-latency communication; Payment channel; Programming; Proposal; HTTP","Article","Final","","Scopus","2-s2.0-85149817745"
"Liu H.; Lv Z.; Song Z.; Zhou S.; Liu W.; Fang M.","Liu, Haitao (58438195100); Lv, Zhipeng (34875297100); Song, Zhenhao (57203492096); Zhou, Shan (57753016700); Liu, Wenlong (57888194500); Fang, Mu (59592608700)","58438195100; 34875297100; 57203492096; 57753016700; 57888194500; 59592608700","Application of Blockchain Technology in Electric Vehicle Charging Piles Based on Electricity Internet of Things","2022","Wireless Communications and Mobile Computing","2022","","8533219","","","13","10.1155/2022/8533219","https://www.scopus.com/pages/publications/85137935319?origin=resultslist","With the continuous development of urban intelligence, as traffic, power grids, and electric vehicles are new ideas to solve energy shortages and air control problems, they have received widespread attention from the society and strong support from the government. The charging pile is a key hub for data exchange and has typical characteristics of IoT terminals. However, the guidance of the grid connection of electric vehicles is not standardized, and the security and stability of the power grid will inevitably be affected. The blockchain has the characteristics that data is difficult to tamper with and decentralized. Based on these two characteristics, the information recorded by the blockchain is more authentic and reliable. This paper is aimed at realizing the global unified identification and management of large terminal equipment based on ubiquitous power Internet of Things equipment with the help of blockchain technology and at providing safe, efficient, and stable online management services for a large number of devices in the ubiquitous power Internet of Things. In this paper, we analyze the application possibility of blockchain technology in the current electricity market and apply blockchain technology to the electricity market to solve the drawbacks of the electricity market, as well as adding blockchain analytics to the renewable energy electricity market. The experimental data analysis shows that with the increase of the length of the blockchain, the blocking time of the new area increases correspondingly, but the overall performance declines slightly, so this scheme can meet the practical needs of a large number of concurrent access terminals in the ubiquitous power Internet of Things. It can be seen that the successful application of blockchain technology based on the power Internet of Things in electric vehicle charging piles has greatly improved work efficiency.  © 2022 Haitao Liu et al.","","Charging (batteries); Electric industry; Electric power system control; Electric power transmission networks; Electric vehicles; Electronic data interchange; Internet of things; Piles; Power markets; Secondary batteries; Vehicle-to-grid; Air control; Block-chain; Continuous development; Control problems; Electric vehicle charging; Energy shortages; Grid connections; Power; Power electric; Power grids; Blockchain","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85137935319"
"Bi C.; Cao Y.; Ren Y.; Tian Y.; Wan L.; Ke W.","Bi, Changbing (58695662100); Cao, Yue (55470310200); Ren, Yanzhen (16507110200); Tian, Youliang (59101807000); Wan, Lin (58725923900); Ke, Wei (60261644000)","58695662100; 55470310200; 16507110200; 59101807000; 58725923900; 60261644000","A Blockchain-Enabled Secure Authentication and Fair Trading Scheme for Shared Charging Systems","2026","IEEE Transactions on Network Science and Engineering","13","","","5603","5621","1","10.1109/TNSE.2025.3648844","https://www.scopus.com/pages/publications/105026243458?origin=resultslist","With the rapid development of the Electric Vehicle (EV) market, the growing demand for electricity charging has driven the evolution of private charging infrastructure toward shared deployment. Shared Charging Systems (SCSs) play a vital role in integrating both private and public Charging Piles (CPs), thereby improving overall resource utilization. However, such multi-party SCSs introduce challenges in security and fairness. EVs and CPs exchange parameters via wireless communication to optimize the charging process, which may exposes various threats such as tampering, eavesdropping, replay, and deletion attacks. Meanwhile, the distributed deployment of CPs complicates charging fee calculation management and may lead to issues such as malicious overcharging. To address these challenges, we propose a blockchain-enabled secure authentication and fair trading scheme, ensuring secure communication while guaranteeing transparency and fairness for SCSs. First, we design a pairing-free heterogeneous signcryption algorithm that supports distributed key generation. It realizes efficient mutual authentication based on this algorithm while preventing information leakage during the process. We provide a rigorous security proof under the Random Oracle Model (ROM) to establish its security. Second, we develop a blockchain-based smart contract mechanism to enable decentralized and transparent charging fee calculation, as well as automated payments. By eliminating third-party intermediaries, our solution reduces trading costs whle effectively addresses challenges such as charging fee calculation difficulties and malicious overcharging in distributed CP deployments. Experimental results show that the proposed scheme outperforms existing approaches in terms of both computational and communication overhead. Additionally, our smart contracts incur extremely low gas costs, enhancing the feasibility of the scheme. © 2013 IEEE.","Authentication; blockchain; heterogeneous signcryption; ROM; smart contract","Charging stations; Commerce; Costs; Cryptography; Distributed computer systems; Electric charge; Information leakage; Network security; Security systems; Smart contract; Wireless charging; Block-chain; Charging infrastructures; Charging systems; Exchange parameters; Growing demand; Heterogeneous signcryption; Random Oracle model; Resources utilizations; Secure authentications; Signcryption; Authentication; Blockchain","Article","Final","","Scopus","2-s2.0-105026243458"
"Ding S.; Abdelhakim M.","Ding, Shengwen (57407129200); Abdelhakim, Mai (35190061600)","57407129200; 35190061600","Securing Electric Vehicle Systems via AI and Blockchains: A Survey","2026","IEEE Internet of Things Journal","13","2","","3026","3037","0","10.1109/JIOT.2025.3633212","https://www.scopus.com/pages/publications/105021664396?origin=resultslist","The ever-increasing adoption of electric vehicles (EVs) is transforming modern energy systems. Robust cybersecurity measures are needed to safeguard EV operations and the grid as a whole, while allowing the adoption of new paradigms, such as energy trading and vehicle-to-grid (V2G) technologies. In this work, we aim to fill the literature gap and relate security requirements to solutions. We point out key advantages and limitations of advanced security methods, specifically artificial intelligence (AI) and blockchains, in securing energy systems’ operations. First, we provide an overview of security challenges in the rapidly evolving EV ecosystem, pointing out different kinds of cyber threats targeting key components in both home and public charging infrastructures. Then, we present a review of potential solutions that utilize AI and blockchain methods to mitigate cyber risks and recover from malicious attacks. We describe the pros and cons of AI and blockchains in addressing data confidentiality, integrity, availability, and exchange requirements. We also discuss how different technologies can be combined to leverage the unique characteristics of each in minimizing cyber risks in EV systems. Finally, this article outlines challenges and open research directions. © 2014 IEEE.","Artificial intelligence (AI); attack detection; attack prevention; blockchain technology; cybersecurity; distributed energy resources (DERs); electric vehicles (EVs); smart grids","Electric vehicles; Energy resources; Malware; Network security; Public risks; Smart power grids; Artificial intelligence; Attack detection; Attack prevention; Block-chain; Blockchain technology; Cyber security; Distributed energy resource; Distributed Energy Resources; Electric vehicle; Smart grid; Blockchain","Review","Final","","Scopus","2-s2.0-105021664396"
"Kumar A.; Mondal K.K.; Vishwakarma L.; Das D.","Kumar, Amritesh (57218181518); Mondal, Koustav Kumar (57489770400); Vishwakarma, Lokendra (57211232191); Das, Debasis (57210985387)","57218181518; 57489770400; 57211232191; 57210985387","RBCET: A Reputation-Based Blockchain Consensus Mechanism for Fast and Secured Energy Trading in Internet of Electric Vehicles (IoEV)","2025","IEEE Transactions on Consumer Electronics","71","2","","3040","3051","4","10.1109/TCE.2025.3542172","https://www.scopus.com/pages/publications/85217946126?origin=resultslist","The state-of-the-art consensus mechanisms in blockchain-based Internet of Electric Vehicles (IoEV) prove suboptimal for energy trading due to their heavy CPU workload, high bandwidth consumption, energy inefficiencies, and the backlog of pending transactions. Also, the network is susceptible to attacks such as double-spending, Distributed Denial of Service (DDoS), eclipse, Sybil, and collusion attacks. Addressing these challenges, this paper introduces RBCET, a reputation-based consensus mechanism explicitly designed for energy trading within the IoEV blockchain network. The RBCET computes the reputation score (RS) of nodes (e.g., Electric Vehicles (EVs) and Charging Stations (CSs)) in the IoEV network using a decision tree regressor (DTR) model. This model utilizes the reputation parameter dataset generated by a relational mathematical model. RBCET allows only those EVs and CSs to participate in energy trading whose RS value exceeds the average RS value. Additionally, we also propose a hardware-based incentive mechanism to calculate and store incentives to enhance the efficiency of energy trading. Security analysis shows that RBCET resists the attacks mentioned above. Furthermore, we have developed a testbed using 10 Raspberry Pi 4 devices to demonstrate the performance of RBCET compared with state-of-the-art schemes. This comparison shows that RBCET reduces CPU workload by 47%, energy consumption by 10%, bandwidth usage by 5%, the volume of pending transactions by 75%, and overall improves efficiency by 62%. © 1975-2011 IEEE.","Blockchain; consensus algorithm; electrical vehicle; energy trading; Internet of electric vehicles (IoEV)","Bandwidth; Blockchain; Digital storage; Energy utilization; Bandwidth consumption; Block-chain; Charging station; Consensus algorithms; Electrical vehicles; Energy; Energy trading; High bandwidth; Internet of electric vehicle; State of the art; Denial-of-service attack","Article","Final","","Scopus","2-s2.0-85217946126"
